donation_id,person_id,email,first_name,last_name,phone,address,city,state,zip,donation_date,amount,donation_type,campaign,payment_method
D-00000000,P-00000000,kenneth.lewis61@icloud.com,Kenneth,Lewis,7738204212,8422 Kedzie Ave,Chicago,IL,60615,2023-01-29,156,one_time,PODCAST,credit_card
D-00000001,P-00000001,sandra.nguyen64@icloud.com,Sandra,Nguyen,3126664789,6496 Jackson Blvd,Chicago,IL,60654,2024-09-30,25,one_time,JOURNALISM,check
D-00000002,P-00000002,dorothy.ramirez55@outlook.com,Dorothy,Ramirez,3123428388,3990 Franklin St,Chicago,IL,60610,2022-12-03,87,one_time,FALL23,paypal
D-00000003,P-00000002,dorothy.ramirez55@outlook.com,Dorothy,Ramirez,3123428388,3990 Franklin St,Chicago,IL,60610,2020-09-09,13,one_time,MATCH24,check
D-00000004,P-00000002,dorothy.ramirez55@outlook.com,Dorothy,Ramirez,3123428388,3990 Franklin St,Chicago,IL,60610,2021-04-18,25,one_time,FALL23,check
D-00000005,P-00000004,linda.campbell78@gmail.com,Linda,Campbell,6307249859,3173 Fullerton Ave,Chicago,IL,60610,2021-06-05,219,one_time,SUSTAINER,credit_card
D-00000006,P-00000004,linda.campbell78@gmail.com,Linda,Campbell,6307249859,3173 Fullerton Ave,Chicago,IL,60610,2022-02-21,111,one_time,ONLINE,paypal
D-00000007,P-00000004,linda.campbell78@gmail.com,Linda,Campbell,6307249859,3173 Fullerton Ave,Chicago,IL,60610,2020-02-15,235,one_time,MATCH24,check
D-00000008,P-00000005,donald.moore44@yahoo.com,Donald,Moore,7732271741,1095 Congress Pkwy,Evanston,IL,60201,2020-05-14,11,recurring,SUSTAINER,credit_card
D-00000009,P-00000005,donald.moore44@yahoo.com,Donald,Moore,7732271741,1095 Congress Pkwy,Evanston,IL,60201,2020-06-13,11,recurring,SUSTAINER,ach
D-00000010,P-00000005,donald.moore44@yahoo.com,Donald,Moore,7732271741,1095 Congress Pkwy,Evanston,IL,60201,2020-07-13,11,recurring,SUSTAINER,credit_card
D-00000011,P-00000005,donald.moore44@yahoo.com,Donald,Moore,7732271741,1095 Congress Pkwy,Evanston,IL,60201,2020-08-12,11,recurring,SUSTAINER,credit_card
D-00000012,P-00000005,donald.moore44@yahoo.com,Donald,Moore,7732271741,1095 Congress Pkwy,Evanston,IL,60201,2020-09-11,11,recurring,SUSTAINER,credit_card
D-00000013,P-00000005,donald.moore44@yahoo.com,Donald,Moore,7732271741,1095 Congress Pkwy,Evanston,IL,60201,2020-10-11,11,recurring,SUSTAINER,ach
D-00000014,P-00000005,donald.moore44@yahoo.com,Donald,Moore,7732271741,1095 Congress Pkwy,Evanston,IL,60201,2020-11-10,11,recurring,SUSTAINER,credit_card
D-00000015,P-00000005,donald.moore44@yahoo.com,Donald,Moore,7732271741,1095 Congress Pkwy,Evanston,IL,60201,2020-12-10,11,recurring,SUSTAINER,credit_card
D-00000016,P-00000005,donald.moore44@yahoo.com,Donald,Moore,7732271741,1095 Congress Pkwy,Evanston,IL,60201,2021-01-09,11,recurring,SUSTAINER,credit_card
D-00000017,P-00000005,donald.moore44@yahoo.com,Donald,Moore,7732271741,1095 Congress Pkwy,Evanston,IL,60201,2021-02-08,11,recurring,SUSTAINER,credit_card
D-00000018,P-00000005,donald.moore44@yahoo.com,Donald,Moore,7732271741,1095 Congress Pkwy,Evanston,IL,60201,2021-03-10,11,recurring,SUSTAINER,ach
D-00000019,P-00000005,donald.moore44@yahoo.com,Donald,Moore,7732271741,1095 Congress Pkwy,Evanston,IL,60201,2021-04-09,11,recurring,SUSTAINER,credit_card
D-00000020,P-00000005,donald.moore44@yahoo.com,Donald,Moore,7732271741,1095 Congress Pkwy,Evanston,IL,60201,2021-05-09,11,recurring,SUSTAINER,credit_card
D-00000021,P-00000005,donald.moore44@yahoo.com,Donald,Moore,7732271741,1095 Congress Pkwy,Evanston,IL,60201,2021-06-08,11,recurring,SUSTAINER,ach
